Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
POMO4;MARCOPOLO;PN N2;573.840.089;0,08
POSI3;POSITIVO TEC;ON NM;78.616.498;0,021
PRIO3;PETRORIO;ON NM;126.730.759;0,234
PSSA3;PORTO SEGURO;ON NM;94.159.042;0,242
QUAL3;QUALICORP;ON NM;281.558.308;0,381
RADL3;RAIADROGASIL;ON NM;213.553.757;1,169
RAIL3;RUMO S.A.;ON NM;1.053.753.059;1,127
RAPT4;RANDON PART;PN N1;176.269.235;0,097
RENT3;LOCALIZA;ON NM;593.233.155;1,272
RLOG3;COSAN LOG;ON NM;125.570.897;0,12
SANB11;SANTANDER BR;UNT;362.227.661;0,504
SAPR11;SANEPAR;UNT N2;200.991.234;0,29
SAPR4;SANEPAR;PN N2;203.503.821;0,059
SBSP3;SABESP;ON NM;339.982.576;1,003
SEER3;SER EDUCA;ON NM;54.338.507;0,041
SLCE3;SLC AGRICOLA;ON NM;85.085.106;0,097
SMLS3;SMILES;ON NM;58.842.428;0,043
SMTO3;SAO MARTINHO;ON NM;147.017.773;0,148
SQIA3;SINQIA;ON NM;58.960.436;0,069
STBP3;SANTOS BRP;ON NM;664.998.779;0,172
SULA11;SUL AMERICA;UNT N2;278.742.752;0,682
SUZB3;SUZANO S.A.;ON NM;725.859.318;1,472
TAEE11;TAESA;UNT N2;218.568.274;0,297
TCSA3;TECNISA;ON NM;54.778.381;0,028
TEND3;TENDA;ON NM;96.310.946;0,15
TGMA3;TEGMA;ON NM;32.006.778;0,038
TIET11;AES TIETE E;UNT N2;297.885.382;0,222
TIMP3;TIM PART S/A;ON NM;807.711.660;0,558
TOTS3;TOTVS;ON NM;403.397.655;0,51
TRIS3;TRISUL;ON NM;79.617.212;0,052
TRPL4;TRAN PAULIST;PN N1;395.797.044;0,405
TUPY3;TUPY;ON NM;65.947.515;0,057
UGPA3;ULTRAPAR;ON NM;1.086.422.872;0,998
UNIP6;UNIPAR;PNB;45.658.398;0,059
USIM5;USIMINAS;PNA N1;513.781.576;0,186
VALE3;VALE;ON NM;3.292.010.807;9,25
VIVA3;VIVARA S.A.;ON NM;93.368.726;0,103
VIVT4;TELEF BRASIL;PN;415.131.868;0,981
VLID3;VALID;ON NM;68.845.943;0,037
VULC3;VULCABRAS;ON NM;74.685.291;0,019
VVAR3;VIAVAREJO;ON NM;1.443.662.628;1,353
WEGE3;WEG;ON ED NM;740.696.136;2,365
WIZS3;WIZ S.A.;ON NM;76.791.625;0,039
YDUQ3;YDUQS PART;ON NM;299.667.897;0,481
Quantidade Teórica Total;;;80.840.459.041;100
Redutor;;;514.428.080,29;
